Algorithm,PH,Range,Function,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
Linear,4,TAR_2,cSigp01,79.07,15.98,0.2,4.69,0.06,95.05,51.34,2635.55,38.66,0.13
Linear,4,ENTIRE,cSigp06,69.28,27.44,0.64,2.41,0.22,96.72,38.44,1477.91,27.05,0.18
Linear,4,TBR_2,cSigp06,81.49,0,0,17.82,0.69,81.49,27.7,767.37,16,0.33
Linear,4,TBR_1,cSigp06,62.54,0,0,36.39,1.07,62.54,30.84,951.11,19.3,0.31
Linear,4,TIR,cSigp06,66.11,33,0.89,0,0,99.11,33.51,1122.73,23.45,0.19
Linear,4,TAR_1,cSigp06,73.82,23.87,0.37,1.22,0.72,97.69,43.22,1868.18,31.51,0.15
Linear,4,TAR_2,cSigp06,77.89,16.92,0.15,4.97,0.06,94.81,52.73,2780.2,40.28,0.13
Linear,4,ENTIRE,gMAD,67.95,28.43,0.92,2.48,0.22,96.38,38.85,1509.02,27.44,0.19
Linear,4,TBR_2,gMAD,78.91,0,0,20.21,0.88,78.91,29.85,891.15,17.54,0.36
Linear,4,TBR_1,gMAD,56.37,0,0,42.25,1.38,56.37,33.66,1132.89,21.5,0.35
Linear,4,TIR,gMAD,63.45,35.34,1.19,0,0.02,98.79,35.47,1257.86,25.04,0.21
Linear,4,TAR_1,gMAD,74.4,23.21,0.7,1.07,0.61,97.61,42.78,1830.26,30.89,0.15
Linear,4,TAR_2,gMAD,81.3,14.55,0.33,3.77,0.05,95.85,48.44,2346.91,35.81,0.12
Linear,4,ENTIRE,gMSE,65.68,29.47,0.7,4.02,0.13,95.15,37.4,1398.47,27.31,0.2
Linear,4,TBR_2,gMSE,46.82,0,0,52.28,0.9,46.82,35.79,1280.72,27.53,0.57
Linear,4,TBR_1,gMSE,23.21,0,0,75.36,1.43,23.21,38.56,1486.77,29.39,0.48
Linear,4,TIR,gMSE,61.1,37.93,0.96,0,0.01,99.03,34.18,1167.99,25.09,0.21
Linear,4,TAR_1,gMSE,77.43,20.88,0.43,1.03,0.23,98.31,39.06,1525.73,28.29,0.13
